count
178
3129
21
10321
20
4845
4684
20542
4684
8
1117
4
477
2219
56
191
725
2467
20
61761
84
5
67
21
113
121
23
118
1782
2577
78
440
202
12135
31
33
219
194
387
81
264
36
320
10477
269
183
823
81
94
3
113
125
8633
2495
630
613
219
150
375
8402
38947
1281
219
12
30
925
1480
70
198
2696
15
700
