,x
169, abhijitmajumder a brilliant riposte do read jnu
170," sirjadeja meanwhile in pak ban  jnu

indvswi wivind dilsay indvseng"
171," bokapandit jnu students right now

indvswi"
172," sirjadeja meanwhile in pak ban  jnu

indvswi wivind dilsay indvseng"
173,NA
174," sirjadeja meanwhile in pak ban  jnu

indvswi wivind dilsay indvseng"
175,NA
176,NA
177,NA
178,NA
179," sirjadeja meanwhile in pak ban  jnu

indvswi wivind dilsay indvseng"
180," bokapandit jnu students right now

indvswi"
181,NA
182,NA
183,NA
184," sirjadeja meanwhile in pak ban  jnu

indvswi wivind dilsay indvseng"
185,at last some celebrations for ban pak and jnuindvswi
186,"indvswi
join kanniyahjnu auditorium for a midnight pay
india ki barbadiwct20"
187," sirjadeja meanwhile in pak ban  jnu

indvswi wivind dilsay indvseng"
188,jnu students after indias defeat ind indvswi jnu
189," sirjadeja meanwhile in pak ban  jnu

indvswi wivind dilsay indvseng"
190,NA
191,NA
192,celebrations sta in wi pak and jnu
193,NA
194,NA
195,NA
196,NA
197,NA
198,NA
199,NA
200,NA
201,NA
202,NA
203,NA
204,NA
205,NA
206,NA
207,NA
208,NA
209,NA
210,NA
211,NA
212,NA
213,NA
214,aaj v patakhe phut rhe h india me jnu indvswi
215,NA
216,NA
217," sirjadeja meanwhile in pak ban  jnu

indvswi wivind dilsay indvseng"
218,"meanwhile jnu commie gangs celebrate upon hearing that ind has been knocked out of t20 wc2016

indvswi"
219,NA
220,naxalitesi hate all of themburn themburn them alljnu naxalites
221," sirjadeja meanwhile in pak ban  jnu

indvswi wivind dilsay indvseng"
222,celebrations in jnuindvswi
223,jnu students right now indvswi
224,NA
225,NA
226,NA
227,NA
228,NA
229, wakemeup ab army ko gaaliya dene wale jnu type laal salaam wale kaha mar gaye
230,NA
231,finally jhola chhap naxals from jnu can have pay tonight indvswi wivind
232,celebrations in pakistan bangladesh andjnu indvswijnu
233,NA
234,NA
235,celebration at jnu
236,congratulations bdutt sagarikaghose ranaayyub waglenikhil sardesairajdeep  the jnu jokershappy moments for you
237,and pay begins at jnu indvswi
238,NA
239,its only me and jnu guys celebrating indvswi
240,NA
241,NA
242,NA
243,NA
244, indiansanskriti kanhaiya kumar got slapped publicly and repeatedly jnu
245, isitso15 all paidmedia pimps  jnu morons will be in orgasm tonight to celebrate this
246,NA
247,NA
248,theres pay in jnu please come indvswi
249,NA
250,NA
251,all paidmedia pimps  jnu morons will be in orgasm tonight to celebrate this
252,"jnu m wi wi k naare lag rahe hain 
indvswi"
253, gjha88 thanks to kanhaiyabrigade youth want azadi from jnu unfounate
254,NA
255,win predictor seems to have taken a course in jnu since the last match indvswi t20worldcup
256,NA
257," bokapandit jnu students right now

indvswi"
258,"marxistleftist thuggery in social sciences academia as pervasive in usa as in india no wonder jnu flourishes
"
259,NA
260,NA
261,jnu prof challenged outdated marxism and leftists
262,NA
263,NA
264,NA
265," bokapandit jnu students right now

indvswi"
266,NA
267,NA
268,NA
269," bokapandit jnu students right now

indvswi"
270," bokapandit jnu students right now

indvswi"
271,some jnu students prof running antinational activities abvp abvpjnu sunilambekarm niwasabvp saurabhjnu
272,NA
273," bokapandit jnu students right now

indvswi"
274," bokapandit jnu students right now

indvswi"
275,"jnu students right now

indvswi"
276,NA
277,NA
278,NA
279,NA
280,NA
281,likes of afzalpremigang kanhaiyakumar jnu libeards should see how indian army is working to save lives in kolkatatragedy leopard212
282,NA
283,NA
284,NA
285,"arangarajan1972 
tum kitney gayle laaogey
har ghar se bumrah niklega 

indvswi dilsay wivind jnu"
286," sirjadeja meanwhile in pak ban  jnu

indvswi wivind dilsay indvseng"
287,NA
288,ndtv she should join jnu then rofl
289,NA
290,NA
291,"tum kitney gayle laaogey
har ghar se bumrah niklega 

indvswi dilsay indvseng wivind jnu"
292,NA
293,NA
294,NA
295,NA
296,"even jnu feminist n leftist want freedom in india commies and islamist share similar views
"
297,NA
298,NA
299,NA
300, indiansanskriti kanhaiya kumar got slapped publicly and repeatedly jnu
301,NA
302,NA
303, hemantmorparia jnu kanhaiyakumar says 1984 is not comparable to 2002 caoon
304,NA
305,NA
306, wakemeup ab army ko gaaliya dene wale jnu type laal salaam wale kaha mar gaye
307,NA
308," sirjadeja meanwhile in pak ban  jnu

indvswi wivind dilsay indvseng"
309,NA
310,NA
311,NA
312,NA
313, gjha88 thanks to kanhaiyabrigade youth want azadi from jnu unfounate
314,NA
315,"is it because parents find jnu inappropriate for their kids
jnu sedition kanhaiyakumar"
316,"is it because parents find jnu inappropriate for their kids
jnu sedition kanhaiyakumar"
317,"is it because parents find jnu inappropriate for their kids
jnu sedition kanhaiyakumar"
318,NA
319,NA
320,NA
321, gjha88 thanks to kanhaiyabrigade youth want azadi from jnu unfounate
322, wakemeup ab army ko gaaliya dene wale jnu type laal salaam wale kaha mar gaye
323, wakemeup ab army ko gaaliya dene wale jnu type laal salaam wale kaha mar gaye
324,NA
325,NA
326,NA
327,NA
328," sirjadeja meanwhile in pak ban  jnu

indvswi wivind dilsay indvseng"
329, gjha88 thanks to kanhaiyabrigade youth want azadi from jnu unfounate
330, indiansanskriti kanhaiya kumar got slapped publicly and repeatedly jnu
331,NA
332,NA
333,kanhaiya kumar got slapped publicly and repeatedly jnu
